business_id,name,city,state,stars,text,date,sentiment,sentiment_score
AlxnbBd2JNkozNvI0OvRLQ,Murph's Bar,Philadelphia,PA,4,"very chill atmosphere, good selection of micro brews, 2 dollar pbrs, great place to hang, live music.

Not much space however, tough to relax if its busy",2011-02-16,NEGATIVE,0.9728485941886902
ZhSFkJjDeD08F88F84fcOA,UV Nightclub,Nashville,TN,1,Terrible. Do not go here. $10 cover to see a bunch of ghetto thugs show each other their guns. The 10 cops always outside is your first clue.  If all you want to do is dance and have a few drinks-there are plenty of other cool places on broadway.,2013-08-18,NEGATIVE,0.9846417307853699
1ENdYUfYzDu9yyI3-MVklA,Boostin' Bowls,Philadelphia,PA,2,Very pricey for a small amount. The acai was a little watery and I did not enjoy whole hard chocolate chips in the acai bowl.,2017-11-06,NEGATIVE,0.9916231036186218
vN6v8m4DO45Z4pp8yxxF_w,Surrey's Café & Juice Bar,New Orleans,LA,4,If you beat the crowd you're in. Small but that's the only negative. Everything I've tried on the menu is AMAZING! They even have vegetarian/vegan items. I always get whatever french toast special they have. I always take people who stay with me for Mardi Gras here for breakfast before we hit the parades.,2011-09-25,POSITIVE,0.9993919134140015
50TGaB-hcv4R3QiWUmIP_w,Haveli Indian Cuisine,Indianapolis,IN,4,"Good Indian buffet with fresh to order naan/garlic naan.  More vegetarian options, better food, and better service than India Garden.  Only, $6.99 and they have coupons on their website that knocks another dollar off the price.  Loved the egg curry!",2014-08-25,POSITIVE,0.9892686009407043
yuW60QyweNNcyHa_3fkrYA,Izenberg's Catering & Cafe,Conshohocken,PA,4,"Absolutely LOVEEEE diners and Jewish deli's and this is a jew diner. 

Highly recommend the pastrami sandwiches. They put a lot of twists on them, I got it over Latkes and the latkes were perfectly crispy. This place is decently priced.

I would give it a 5 star except that the decor was still like the old ownerships, except for the Easter themed counter. And that it doesn't include a free salad bar or dessert.",2018-04-06,POSITIVE,0.9995996356010437
emTNYy-Ct6pitGa0vIV03A,I.C. Sharks Seafood Market,Saint Petersburg,FL,5,A truly great FRESH seafood place. My favorite is the crabcakes and Royal Red shrimp. Hogfish is fresh and amazing and I used the clams to make Clams Casino on New Years Eve. So good!!! Service is great and the seafood is yummy.,2013-01-02,POSITIVE,0.9998672008514404
YSJZZ1_8uHIIV4w44RSllA,Flying Pie Pizzaria,Meridian,ID,4,"Went on Tuesday night for the gourmet pizza night! 

Cost my husband and I $20 for all you can eat pizza, drinks & salad! Not too shabby!

It was fun trying the different flavors of pizza they had available!
Salad bar was fresh clean and had a good selection of toppings! 

The only complaint is the Samoan pizza needed to be cooked longer some of the cheese on top wasn't melted all the way... smh! Other than that everything & everyone was awesome!",2014-05-28,POSITIVE,0.9973986148834229
I0I2mkCOPTYVSLpc8A8VVw,Compère Lapin,New Orleans,LA,5,"They had me at the copper bunny...vodka, pineapple jalapeño tequila, lime juice and sparkling wine in a beautiful copper bunny (it packs a wallop). Don't try to find one to buy...they mold and make them just for the restaurant.
Starters included fresh chilled gulf oysters and crispy conch fritters with pineapple tarter sauce.  We then proceeded to two tuna ""small bites:"" sushi grade hamachi lightly tossed with a guava curry and papaya, and more traditional tuna tartare...they couldn't have been better.  We were a little scared to try the curried goat but it was
incredibly tender and the curry paired perfectly with the melt-in-your-mouth sweet potato gnocchi.  No room for dessert but we can't wait to come back to NOLA and Compère Lapin!",2018-02-23,POSITIVE,0.8084154725074768
UakVMT3xrpbFB2pHdxPjnw,Crown & Bull,Dunedin,FL,5,Really good cheeseburgers try the hell burger if you would like a spicy burger definitely recommend breakfast as well,2016-10-14,POSITIVE,0.9994064569473267
X5fWO9e82EICHXzzs6eQMg,Rescue Spa,Philadelphia,PA,2,"I've been here about a half dozen times to get a full Brazilian wax (or Lotus as they call them) done.  I've had all ranges of service here from extremely poor to fairly good.  Their lack of consistency between estheticians always makes me hesitant to go back.  I only go back if I can't get an appointment at my regular spa and will only get waxed by Connie. 

One of the worst waxes I've ever had was at Rescue Rittenhouse from a woman named Jennie (I think).  As a very experienced waxer (I've had 50+ brazilians in my life), she gave me by far one of the worst waxes I have ever had.  The experience lasted no more than 5 minutes and was extremely painful.  She ripped very large areas of hair, was rude, and left me bleeding and bruised.  Yes, I was bruised from the wax!!  I have a pretty high pain tolerance, but this was just awful. I immediately got dressed after the service and went outside to pay.  I was shaking from the shock of the whole thing.   As I go to pay, I complain to the receptionist, who only took $5 off my service!  She wouldn't budge with her price and tried to make up excuses as to why it would hurt so much.  What a freaking rip off.",2012-02-02,NEGATIVE,0.9982829093933105
6mCsrUp9Vl4iXMbOxWtVjA,Dosa Hut Indian Grill,Nashville,TN,4,"Hankering for South Indian Dosas?...this is the place. There are good Indian Restaurant alternatives to this hole in the wall, however, my taste buds bring me back here. It is the only reason for the 4 stars. Tardiness, Service are out of left field. Especially the bathrooms need attention!

I really can only attest to some of the appetizers and the DOSA's!....AND, their GARLIC NAAN's have always been perfect.

Choose your Dosa's and enjoy the food...not the surroundings!",2018-07-26,NEGATIVE,0.9095249772071838
5xokROlB8Zo5T-_qbHzsrQ,Buddy Brew Coffee ,Tampa,FL,5,"Quick Read: Aside from the parking and occasional crowds -- this place is fantastic.

Thankfully, Buddy Brew is expanding -- a move that I hope will relieve some of the terrible parking issues. This place is a must-try in Tampa. The baristas are friendly, knowledgable, and efficient. The breakfast and lunch options are solidly tasty. The coffee is roasted with a level of care that I'm glad to see in Tampa. One of my absolute favorite places on the planet.",2015-12-21,POSITIVE,0.999835729598999
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,Philadelphia,PA,5,"Just so you know, I now eat a chicken chaat from Mood Cafe at least once a week. They are so amazing and unlike anything I have ever experienced before. I would attempt to describe a chaat as ""Indian Nachos"". It is crispy chips, chick peas and potatoes topped with fruit, nuts, sauces, fresh herbs and chicken. The flavor is ADDICTING! :) The samosas and lassis are also fantastic. Thank you Mood Cafe for introducing me to my new favorite food!",2012-07-17,POSITIVE,0.9998465776443481
t-_pLJLaIJZDomaDQaWwaA,HotBox Pizza,Southport,IN,2,"I love HotBox, but this location can't seem to match the service quality as other locations. Deliveries always seem to be a problem, with delivery times double what is estimated, and constant parts of orders missing. So tired of getting my pizza but not my sauce, and having to wait for another 30 minutes for them to deliver it, when it should have been included the first time. 

Hopefully the management takes notes, finds out where the misses are occurring in your process, and fix it.",2017-11-19,NEGATIVE,0.9976303577423096
TkQy8DWCUBtcrmHYtR87uQ,Best Buy Downingtown,Downingtown,PA,1,Downingtown don't even bother. Only 5 4k 49'. Not impressed.  Very disappointed. Guy came out have out wristbands. By the time he reached the 20tj person no more. I ask how many they had he stated 5.,2016-11-24,NEGATIVE,0.998339056968689
hqm2zJ1WY5UaVGZ6j07NNA,The Turning Point - Cherry Hill,Cherry Hill,NJ,2,Service average. Food average. Atmosphere average. Meh describes my whole experience.,2018-05-20,NEGATIVE,0.5487573146820068
MF5-JPr0auUkY_WLTTVUaA,Tacodelphia,Philadelphia,PA,5,What a gem!!!!! I love a good shrimp taco!!! These are definitely an authentic shrimp taco. Im usually not a huge fan of corn tortillas but these were actually very good!!!! I love how you can select your own toppings and the pickled onions were such a good choice. The jamaica was good too. Staff was very friendly as well. If I lived in Philly this would be my good to place,2018-03-24,POSITIVE,0.9998216032981873
0F2jyiUdl8CSKQeR1KwVig,Crooked Eye Brewery,Hatboro,PA,5,Never would have found this place but I had a groupon so I tried it out. Such a great little place. Got to meet the owners who are fantastic. Great local business to support. I'm not a beer drinker at all but I did enjoy the white tail ale. The sangria was fantastic. Wednesday's are trivia night. We had a blast. Perfect date night experience. Go! You won't be disappointed...,2017-10-13,POSITIVE,0.9998095631599426
8UPP3VykU0G3OdoRWXvwIA,Sage Yoga & Wellness,Boise,ID,5,"Sage Yoga and Wellness in Boise is amazing!  I am a yoga instructor & health and wellness coach currently living in Washington D.C. and was looking for a studio to practice at while visiting family. I stumbled up this studio and decided to do a walk in, and I was pleasantly surprised beyond words. The instructors are FANTASTIC! They are interdisciplinary and positive energy and compassion just radiates from them. The over all space is great: They have lockers, showers, and even a massage area. The practice space is cozy and warm. 

All levels of practitioners, beginners to instructors will find a wonderful practice here. Lulu Lemon show room is just a block away too. 

Sage Yoga Also offers a community class on the weekend. If you are interested in yoga try a lot of studios and find the style the resonates with you. Come with an open heart and try Sage Yoga and Wellness :)",2011-01-13,POSITIVE,0.9998557567596436
pSmOH4a3HNNpYM82J5ycLA,The Pancake Pantry,Nashville,TN,1,"For the amount of time we had to wait youd think service would be a little better. Im not complaining about the wait at all, we knew what we were getting into, but the waitress we had was imcompetant to say the least. after we sat down she took our drink order ... never to be seen again. She came back to take our food order and thank god there was water on the table. She brings the food, its wrong. She brings the check and low and behold charges us for the drinks we never received and is literally mind blown when i ask her to take them off the bill. As some one who has worked in the service industry i know what its like to work a busy shift, but come on...",2017-08-10,NEGATIVE,0.9987779259681702
cg4JFJcCxRTTMmcg9O9KtA,Ava,Tampa,FL,1,"Bummer! This restaurant is in a great location with nice outside seating, but the food and service was no bueno . Pizza came out cold and with burnt crust, salmon was salty, and they forgot our app.  Not worth it :/",2016-11-23,NEGATIVE,0.9989577531814575
aaBlYQpHUuSYEv1EtWgxuQ,Chick-fil-A,Plainfield,IN,5,"A terrific place to grab a quick bite to eat. Friendly, fast and reasonable prices for the quality they serve up. It the best chick-fl-a I have ever gone to. Most likely because of consistent service of their staff. The manager ""Chris"" is always working his tail off to make sure everything is running as normal. I must say to ""Chris"" thanks for all the support thru the years....you are the best. You have the cleanest, friendliest, all around best restaurant that I know is always there for our family to get a perfect meal...fast!",2011-10-27,POSITIVE,0.9998239874839783
niO5BJmsVDVqxQ47TZBoxw,Domino's Pizza,Indianapolis,IN,4,My pizza was delicious and quickly delivered! Only reason I give 4 stars is because I asked for them to write a joke on the box and they didn't.,2018-07-08,POSITIVE,0.9870545864105225
yS0TsUzKBQlHQCZZeBrxww,Tortas El Guero,Indianapolis,IN,5,"All I can say is.......wow! I came here because my friend told me how good the tacos were and I finally dived in and gave it a try. We pulled up and I was shocked of how small the building was. I am always looking for some type of seating or outdoor seating but this is a grab a taco and leave type of establishment. 

We walked in and immediately I knew 2 people in there lol. I was thinking oh this food must be good!!! I ordered the chicken, shrimp, and steak taco and when I say it was good... honey..... it was good lol! The tacos were seasoned well and the meat was tender. It was just perfect! 

Be careful with the sauces they throw in the bag. It is super spicy and I am not a fan of that. I love the limes and cucumbers that they give us with the tacos too. Very fresh and yummy! 

The quesadilla was EXCELLENT! Def will be back.",2017-08-11,POSITIVE,0.9956510663032532
YjRsQ94c3wpUQbsnU9jhHA,Frisco Train Store,Valley Park,MO,5,"This is a hidden gem for all kids that love toy trains.  They have just about every imaginable wooden train set and accessory i available for purchase.  Even better than that though, there is a LARGE, custom built wooden train layout that your kids can play with for no cost so that they can try before you buy.  the owners are super nice and always have a smile to share with you.  They frequently have special events for little or no cost.   I know our family really enjoys this unique kids adventure.",2013-10-26,POSITIVE,0.9997376799583435
N2i1U4Z6GHEw9V02N2u6JA,Hollander Hotel,St. Petersburg,FL,4,"Hubs and I enjoyed our 4 night stay at the charismatic Hollander.  Some thoughts:

The goods:

+ The staff is great. Everyone was friendly and helpful and I felt truly welcome my entire stay
+ The location is convenient. You are right near the highway but can also walk to downtown
+ The porch/lobby/bar/pool is funky and fun.  There are always people to socialize with and the decor is very interesting (check out the grand piano frame mounted to the wall)

The could use improvement:
+ Parking is shared with the hotel next door and often has you circling looking for spots/parking in sand. It's also one-way in and out, which can be a tad annoying depending on your navigation direction
+Sound proofing of the rooms to the hallway isn't very good, so people walking by your door talking will sound like they are in your room
+Shower temperature fluctuated on us the whole weekend going from nice and hot to slightly cool

The good out-weighed the bad for me if you're looking to stay at a place with some character!",2017-01-17,POSITIVE,0.9998113512992859
MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,Philadelphia,PA,2,"Went here for lunch - was told that the lunch portions were 60% the size of the normal entrees and 60% of the price.  Well, these portions were SCANT - not even appetizer sized.  We got 6 shrimps!  That's almost $2 per shrimp!  Now, I've been to the Han Dynasty in Old City and what we got was probably 30% the size of their entrees.  Price-wise, both Sang Kee and Peking are closer to me and more affordable for lunch so probably I will not venture here anytime soon.  I feel like for 2 people to get full, you need either 4 lunch portions or 2 dinner entrees.

Also, we did not get the second entree until we had mostly finished the first one - thank goodness we were sharing!

That and the whole atmosphere is weird.  I understand not changing the Midatlantic decor much for cost reasons, but playing ambient electronic pop?  I'd expect that maybe for a frozen yogurt shop or some new age vegetarian restaurant, but not a Szechuan restaurant, and certainly not Han's restaurant!

The only reason this did not get a lower rating is because the food was still tasty - what little of it there was.",2012-10-10,NEGATIVE,0.9953997731208801
TCdNYh5tdjoNmA1WMx3ZPg,Roselena's,Philadelphia,PA,4,"I'm not too proud to admit that I've never had an Italian cream soda. I am however, proud to admit that my first was at Roselena's. And it was damn good. It's creamy. It's sweet. It's refreshing. It's worth trying if you're like me and didn't grow up around here eating monkey bread and 'wuder' ice 'down the shaw'.

We were out last week checking out our hood since the weather has finally opened up a bit. It was a Friday night at around 11 and Passyunk was pretty busy. Not much was open but this quaint little tea shop slash old school ice cream parlor. They had tables out on the sidewalk and everyone had a plate with half-eaten dessert of some sort left on it. We decided to stop and have a bite. 

Along with the Italian cream, we ordered the Passyunk S'more and man, it was outrageous. And aptly named! They piled up this super rich chocolate and graham crackers in what seemed like 6-7 layers. Top that off with a mound of marshmallows that they fire right at your table with a blowtorch. You basically extinguish the flames when the mallows are charred to your liking.

Not only did everything they had look tasty (we wanted everything), but I couldn't help but notice a sign that says ""$1.00 coffee - any size"". Sure enough, I was there at 7 the next morning for that. How can you go wrong with gourmet coffee that doesn't taste like it's been burning for hours for $1.00. That kind of thing just doesn't happen these days. I've since been there at least once a day - and sometimes twice. They've always got a great selection and it's always fresh. 

I have so many yelps to write, but this morning I went for my coffee and they had an Ethiopian Yirgacheffe which seriously made my day. So as I sit here savoring it, I felt compelled to come out and say how much I love Roselena's.",2008-05-03,POSITIVE,0.9997472167015076
GIq9z7R9e497A4kv6rGhPQ,iDope Philly,Philadelphia,PA,5,"My iPhone 5 was having trouble charging. I had tried cleaning the connector myself, but the problem was getting worse and worse. 

I assumed I needed a new dock connector. I had read that the connectors were easily damaged. I call several iPhone repair places. Most quoted $60 or $70 for the repair. iDope quoted me a very fair price of $46. 

Once I arrived, the technician did a thorough cleaning of the dock connector. He pulled out all sorts of dirt and fuzz that had accumulated from a few years of living in my pants pocket. He plugged it in and voila! It was charging again!

He handed the phone back to me.  No charge!

Thank you to the honest and fair, iDope!",2015-02-02,NEGATIVE,0.999119222164154
s1PNBO9o5jIgNd5YWUDLXQ,The Independent Hotel,Philadelphia,PA,5,"I love this hotel. I would stay here agin if I came back to Philly and recommend it to anyone coming in. It has lovely hardwood floors and huge vaulted ceilings making it feel like I'm staying in the lap of luxury. Bathroom works for me. It has a microwave, fridge, and Keirug and the offer complimentary continental breakfast room service. It's also in a nice neighborhood close to lots of restaurants and bars. Noise was not an issue for me.",2015-11-07,POSITIVE,0.9996126294136047
CV1ZOJap9ZiEmtqgN3SKNQ,Wawa,Royersford,PA,5,"Probably the cleanest Wawa I've ever been to. Fast, polite service. There is a gas station as well. Not busy here at all too! Wish Philly had one like this.",2013-12-08,NEGATIVE,0.6442762613296509
a0_wSrpAqg_eHnNej273Sw,Gusto Osteria,Tucson,AZ,2,"Gave Gusto Osteria a second try.  First experience was awful, especially the long wait to get our food from the kitchen.  This time we decided we will not be in a hurry to come back and give it a third try.  Foo foo phooey Italian food and too expense with poor value.  
Cute hostess that greeted us was very friendly, held the door, and seated us immediately.  The service was excellent this time... our dinners came out of the kitchen quickly (although the restaurant was pretty empty except for a large party of 40 for a private affair dining on the patio), our server Jordan was attentive, and the busboy had a great sense of humor and constantly came by to check on us and refill our water glasses, BUT the Alfredo sauce was the worst we've ever had (very disappointing) and the although the homemade sausage was plentiful, just okay if you like Italian sausage (not too spicy... though we would not get it again with Fettuccine Alfredo).  The Cannelloni with chicken had a better tasting sauce, very different for an entree.  BUT overall, the prices on this menu are too high for a la carte or a weekday dinner, and we ordered the least expensive pasta entrees.  Not a vegetable or a small dinner salad are served with the entrees.  No linquini with clam sauce or spaghetti with meatballs, no lasagna, no traditional Italian dishes, and most prices are $15 and up, up, up.  Olive Garden is a much better value with a larger selection of entrees and all the soup or salad you can eat, or even Zona 78 nearby is better (that is probably why they were packed and there was a 45 minute wait for a table).  And the hot bread we were served when we first sat down was just plain weird.... nothing special.  
The chef came out of the kitchen to visit with a celebrity diner (Jim Click) for a long time, and when he passed us (the only other diners in the restaurant in that area) on his way back to the kitchen, he did not even acknowledge us, or say hello, or ask if every thing was okay.  Kind of rude.",2013-04-11,POSITIVE,0.9912574291229248
_RwlMTw9uFeOkfX9Ctf1HA,Dinardo's Famous Crabs,Philadelphia,PA,1,"Yea.. So this place is terrible. I don't know when they became ""famous"", but it tastes like it was a long time ago. Floating objects in our drinks. Some in the original drink brought out and in the one they replaced it with. Along with lipstick on the brim of the other glass. The food was meh. Crab soup and buffalo shrimp for starters and garlic crabs for the main course. Oh and they're kind of expensive. Don't waste your money.",2016-09-09,NEGATIVE,0.9370117783546448
o3RGMdSY37_PX1k1vZsXpA,Cafe Ponte,Clearwater,FL,5,"WOW. Spectacular food!! 

Hosted a large private dinner party here in their private room. Although we were only given two waiters- the food was absolutely phenomenal. Highly recommend the filet and fish dishes! Looking forward to going back.",2016-03-08,POSITIVE,0.9998751878738403
MTwiz3yCBDPCaqAFIFSRRQ,Famous Sam's,Tucson,AZ,4,"RAIDER NATION FOR LIFE ~~ RN4L

This location of Famous Sam's is the Die Hard Raiders Booster Club Tucson Chapter's home base and because of that simple fact, I get a tug in my heart, a tear in my eye...awww hell, I get all verklempt. Raider Nation, baby!!!

So yeah, I'm going with 4 stars because the owners basically hand this place over to Raiders fans on game day and their staff works EXTRA hard trying to keep the sea of silver and black happy and for the most part they truly do keep all the patrons happy. 

As for the food - it's fair, probably above fair. The wings are average - the ""hot"" isn't really hot at all. Chicken strips are fantastic - meaty, moist and BIG!! Steak fingers are just okay. The Jalapeno Bottle Caps are pretty good if you like spicy. Most places seem to use very mild jalapenos for a lot of their dishes like nachos so I was expecting to be bored with the bottle caps. WRONG. They're spicy little battered and fried sliced jalapenos. Delicious! And I've always been a fan of Famous Sam's pastrami sandwiches. It's been years since I had one and they're still as tasty as I remember them. Mmm, mmm, good. 

I must say that Famous Sam's fails in the French fry department. Despite numerous attempts, every time we order fries or they are included as part of our meal, they come to the table limp and undercooked. Recently we ordered fries with nacho cheese sauce and the fries were literally uncooked in the middle. Had to send them back after explaining the raw potato product and our server brought us a new plate. Excited to finally get the fries and dip them, L & I each took a bite and the look of disappointment appeared on our faces. They were just as bad as the first helping. We explained to our server that the fries were inedible but we did not wish to send them back again. She checked on us a few more times throughout the game for beer and water and even mentioned the uneaten fries and how she knew they were unacceptable. But when our bill came, guess what was still on there? That's right - the fries. A quick talk with the manager fixed remedied the situation and all was right with the world again. 

How could it not be? After all, the RAIDERS WON!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",2015-10-08,POSITIVE,0.9986653327941895
z-s_l9SLZiqhAArcdkYOaw,Pia Esthetics Day Spa,St. Petersburg,FL,5,"This is my favorite Day Spa in the area. The staff is wonderful, and I am never disappointed by the services. Nayla especially always does a great job with my eyebrow waxing, getting the shape perfect every time! My eyebrows are the defining feature of my face, so I need someone who I can trust to shape them and she is the best woman for the job! Although, I have been waxed by other ladies here and they are all just as thorough and friendly. You will get taken care of here!",2016-06-22,POSITIVE,0.9998313188552856
Z5po0aTuzKKblek5y6Sp8Q,500 Degrees,Philadelphia,PA,5,"Two words - Truffle....fries! They are really good! A pile of skinny fries spritzed with truffle oil and salt equals awesomeness. I also enjoy their sauces. I would like to end my review there, but I guess I should write more. With the order of fries, you do get a good amount to share with friends. The basket of fries are about $4. They are also open late on weekends after the bars close. I have not yet had a burger, but my friends have had their milkshakes and they come highly recommended.",2013-11-16,POSITIVE,0.9997580647468567
H3JjbID9Zhukpqr9uupHAA,Jackson's Bar & Bistro - Nashville,Nashville,TN,4,"My first experience with Jackson's was back in March, when I was traveling to Nashville for the first time with a bunch of friends who were Vandy grads. They love love love Jackson's from their time in college, and therefore it was literally our first stop of the weekend -- and it was wonderful. I wasn't sure what to expect, since it was a favorite from college days -- but the food was simply delicious.

It has a low-key easy vibe inside, with art from local artists for sale, and the Bistro description is perfect to describe the food. Not heaping portions, but I was stuffed at the end of the meal, and absolutely satisfied.   We started off with martinis which were delightfully strong and full of flavor, and headed for lunch at a table shortly thereafter. Since it was a celebratory weekend, we started with appetizers, and the spinach dip, and the pigs in blankets with the amazing spicy mustard went in seconds. All very flavorful, I just wish I could have had another bite -- and take gallons of the mustard home with me.

Heading to lunch, I got the Rio Panini, and since I do love the standard thick bread one would think of for a panini, I was slightly sad to see white sandwich bread. It was a great sandwich, as were the fries, and the chips that I tasted off my friends plate. I think next time I'll go with the Rio wrap instead -- had ordering envy of my friends who went with that selection. But was in no way dissatisfied with my choice.

I was back again in Nashville this weekend, and stopped again with a large group for lunch. I expected a wait, as the bistro was packed with World Cup fans, but they easily worked with us, and found us a table quickly. Again, each person in the group constantly remarked on the quality of the food, and each had a different drink -- mine, the misery & gin -- pear cider, st. germain ginger liquor, and Tanqueray, was light and refreshing -- perfect for a hot day.  This time, I got this shrimp wrap, and the chopped salad, and ate every morsel off my plate. The shrimp had a slight kick to it, and it had so many flavors in each bite, I savored it until the very end.

I can say without a doubt that every time I'm in Nashville, I will absolutely be back for another boozy lunch at Jackson's!",2010-07-12,POSITIVE,0.9998736381530762
XBdaG2kQ2Iz9VNGPZokjYg,Maria's Ristorante on Summit,Philadelphia,PA,5,After so many wawa soups you almost forgot how nice it is to get a real meal. The chicken escarole soup was excellent. Great cheesesteak also. The bar has good seating and a nice selection of craft beers. Prices are good also. They have a friendly staff as well.,2018-06-09,POSITIVE,0.9997286200523376
lwcHFUojDNhs-euprXrXOQ,Boise Bicycle Project,Boise,ID,5,"Anyone who claims to have had a bad experience here must have a chip on their shoulder or misunderstand what the BBP is. The shop is like a thrift store for bike parts, and the membership is an amazing community of volunteers working to empower people to ride and understand their bikes. Sure, sometimes things don't work perfectly--they are used (and a deal)! But help is always swift, friendly, and genuine. This is one of the institutions that makes Boise wonderful. Long may they keep patching tires and giving away bikes to kids.",2015-07-06,POSITIVE,0.9990014433860779
