city,state,total_reviews,positive_percent
Warrington,PA,1,100.0
Warson Woods,MO,1,100.0
Washington Crossing,PA,2,50.0
Wayne,PA,3,100.0
Webster Groves,MO,3,100.0
Wesley Chapel,FL,5,87.5
West Berlin,NJ,2,0.0
West Chester,PA,8,62.5
West Conshohocken,PA,1,0.0
Williamstown,NJ,1,100.0
Willow Grove,PA,3,100.0
Wilmington,DE,9,55.55555555555556
Woodbury,NJ,2,50.0
Wynnewood,PA,5,58.333333333333336
